Title,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Read,Random Book,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
334,Thomas M. Disch,1972,American,english,250-300,False,Angelfall,,,,,,,,,334
2001,Arthur C. Clarke,1968,British,english,200-300,False,,,,,,,,,,2001
2312,Kim Stanley Robinson,2012,American,english,561-576,False,,,,,,,,,,2312
2666,Graeme Simsion,2013,Australian,english,295-305,False,,,,,,,,,,2666
11 22 63,Stephen King,2011,American,english,849,False,,,,,,,,,,11 22 63
...And Call Me Conrad,Roger Zelazny,1965,American,english,,False,,,,,,,,,,...And Call Me Conrad
"10,000 Doors Of January, The",Alix E. Harrow,2019,American,english,384,False,,,,,,,,,,"The 10,000 Doors Of January"
1066 And All That,W.C. Sellar,1930,British,english,116,False,,,,,,,,,,1066 And All That
"120 Days of Sodom, The",Marquis de Sade,1904,French,french,varies,False,,,,,,,,,,The 120 Days of Sodom
"13 1/2 Lives Of Captain Bluebear, The",Walter Moers,1999,German,german,704,False,,,,,,,,,,The 13 1/2 Lives Of Captain Bluebear
"13 Clocks, The",James Thurber,1950,American,english,124,False,,,,,,,,,,The 13 Clocks
"14 Carat Roadster, The",Jenő Rejtő,1939,Hungarian,hungarian,,False,,,,,,,,,,The 14 Carat Roadster
1Q84,Haruki Murakami,2009,Japanese,japanese,900-1000,False,,,,,,,,,,1Q84
"20th Victim (Women's Murder Club #20), The",James Patterson,,,,,False,,,,,,,,,,The 20th Victim (Women's Murder Club #20)
"21st Birthday (Women's Murder Club, #21)",James Patterson,,,,,False,,,,,,,,,,"21st Birthday (Women's Murder Club, #21)"
"22 Seconds (Women’s Murder Club, #22)",James Patterson,,,,,False,,,,,,,,,,"22 Seconds (Women’s Murder Club, #22)"
"23rd Midnight (Women's Murder Club #23), The",James Patterson,,,,,False,,,,,,,,,,The 23rd Midnight (Women's Murder Club #23)
"24th Hour (Women's Murder Club, #24), The",,,,,,,,,,,,,,,,"The 24th Hour (Women's Murder Club, #24)"
28 Summers,,,,,,,,,,,,,,,,28 Summers
"42nd Parallel, The",,,,,,,,,,,,,,,,The 42nd Parallel
44 Scotland Street Collection,Elin Hilderbrand,,,,,False,,,,,,,,,,44 Scotland Street Collection
"68 Whiskey (Possum Hollow, #2)",John Dos Passos,1930,American,english,340-400,False,,,,,,,,,,"68 Whiskey (Possum Hollow, #2)"
"84, Charing Cross Road",Emilio Salgari,1883,Italian,italian,,False,,,,,,,,,,"84, Charing Cross Road"
A Bag Of Stories,Alexander McCall Smith,2005,British,english,300-350,False,,,,,,,,,,A Bag Of Stories
A Ballad for Georg Henig,,,,,,,,,,,,,,,,A Ballad for Georg Henig
A Bear Called Paddington,,,,,,,,,,,,,,,,A Bear Called Paddington
"A Beautifully Foolish Endeavor (The Carls, #2)",,,,,,,,,,,,,,,,"A Beautifully Foolish Endeavor (The Carls, #2)"
A Bell for Adano,Edla Van Steen,1991,Brazilian,Portuguese,,False,,,,,,,,,,A Bell for Adano
A Bend in the River,Viktor Paskov,1987,Bulgarian,bulgarian,,False,,,,,,,,,,A Bend in the River
A Billion Years: My Escape From a Life in the Highest Ranks of Scientology,Michael Bond,1958,British,english,144,False,,,,,,,,,,A Billion Years: My Escape From a Life in the Highest Ranks of Scientology
A Boy And His Dog,Hank Green,,,,,False,,,,,,,,,,A Boy And His Dog
A Boy's Own Story,John Hersey,1944,American,english,269,False,,,,,,,,,,A Boy's Own Story
A Bride's Story,V. S. Naipaul,1979,Trinidadian,english,278-350,False,,,,,,,,,,A Bride's Story
A Brief History of Seven Killings,Mike Rinder,,,,,False,,,,,,,,,,A Brief History of Seven Killings
A Brief History of Time,Harlan Ellison,1969,American,english,20-60,False,,,,,,,,,,A Brief History of Time
A Bullet In The Ballet,Edmund White,1982,American,english,200-300,False,,,,,,,,,,A Bullet In The Ballet
A Burning,Kaoru Mori,2009,Japanese,japanese,192,False,,,,,,,,,,A Burning
A Burnt Child,Marlon James,2014,Jamaican,english,688,False,,,,,,,,,,A Burnt Child
A Canticle for Leibowitz,Stephen Hawking,1988,British,english,200-256,False,,,,,,,,,,A Canticle for Leibowitz
