Title,Writer,Publisher,Run,Read,Random Comic,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
52,Various,DC,52.0,False,Daredevil,,,,,,,,,,52
300,"Miller, Frank",Dark Horse,4.0,False,,,,,,,,,,,300
100 Bullets,"Azzarello, Brian",Vertigo,100.0,True,,,,,,,,,,,100 Bullets
20th Century Boys,"Urasawa, Naoki",Manga,22.0,False,,,,,,,,,,,20th Century Boys
4 Kids Walk into a Bank,"Rosenberg, Matthew",Black Mask,5.0,False,,,,,,,,,,,4 Kids Walk into a Bank
"7 Deadly Sins, The","Chun, Tze",TKO Studios,8.0,False,,,,,,,,,,,The 7 Deadly Sins
A Bride's Story,"Mori, Kaoru",Manga,11.0,False,,,,,,,,,,,A Bride's Story
A Contract With God,"Eisner, Will",W.W. Norton & Company,8.0,False,,,,,,,,,,,A Contract With God
A God Somewhere,"Arcudi, John",Wildstorm,4.0,False,,,,,,,,,,,A God Somewhere
A Shadowline Saga: Critical Mass,"Chichester, Daniel",Marvel,7.0,False,,,,,,,,,,,A Shadowline Saga: Critical Mass
A Silent Voice,"Oima, Yoshitoki",Manga,7.0,False,,,,,,,,,,,A Silent Voice
Abara,"Nihei, Tsutomu",Manga,2.0,False,,,,,,,,,,,Abara
About Betty's Boob,"Cazot, Vero",Archaia,8.0,False,,,,,,,,,,,About Betty's Boob
Absolute Batman,,,,,,,,,,,,,,,Absolute Batman
Absolute Martian Manhunter,,,,,,,,,,,,,,,Absolute Martian Manhunter
Absolute Superman,,,,,,,,,,,,,,,Absolute Superman
Absolute Wonder woman,,,,,,,,,,,,,,,Absolute Wonder woman
"Acme Novelty Library, The","Ware, Chris",ACME Novelty Library,20.0,False,,,,,,,,,,,The Acme Novelty Library
Acts of Evil,Various,Marvel,8.0,False,,,,,,,,,,,Acts of Evil
Adventure Time Comics,Various,Boom!,25.0,False,,,,,,,,,,,Adventure Time Comics
After Nothing Comes,"Koch, Aidan",Koyama Press,4.0,False,,,,,,,,,,,After Nothing Comes
Age 16,,,,,,,,,,,,,,,Age 16
Age of Bronze,"Shanower, Eric",Image,35.0,False,,,,,,,,,,,Age of Bronze
Age of X-Man: X-Tremists Agenda,"Williams, Leah",Marvel,4.0,False,,,,,,,,,,,Age of X-Man: X-Tremists Agenda
Akira,"Otomo, Katsuhiro",Manga,6.0,True,,,,,,,,,,,Akira
Alack Sinner,"Sampayo, Carlos",IDW,8.0,False,,,,,,,,,,,Alack Sinner
Alec,"Campbell, Eddie",Top Shelf,30.0,False,,,,,,,,,,,Alec
Alias,"Bendis, Brian",Marvel,29.0,False,,,,,,,,,,,Alias
Aliens: Dead Orbit,"Stokoe, James",Dark Horse,4.0,False,,,,,,,,,,,Aliens: Dead Orbit
All the Answers,"Kupperman, Joel",Gallery 13,9.0,False,,,,,,,,,,,All the Answers
All You Need is Kill,"Sakurazaka, Hiroshi",Manga,17.0,False,,,,,,,,,,,All You Need is Kill
All-New Guardians of the Galaxy,"Duggan, Gerry",Marvel,17.0,False,,,,,,,,,,,All-New Guardians of the Galaxy
All-New Wolverine,"Taylor, Tom",Marvel,35.0,False,,,,,,,,,,,All-New Wolverine
All-Star Batman,"Snyder, Scott",DC,14.0,False,,,,,,,,,,,All-Star Batman
"All-Star Batman and Robin, The Boy Wonder","Miller, Frank",DC,10.0,False,,,,,,,,,,,"All-Star Batman and Robin, The Boy Wonder"
Amazing Spider-Man,"Conway, Gerry",Marvel,38.0,False,,,,,,,,,,,Amazing Spider-Man
Amazing Spider-Man,"Straczynski, J. Michael",Marvel,78.0,False,,,,,,,,,,,Amazing Spider-Man
"Amazing Spider-Man, The","Waid, Mark",Marvel,23.0,False,,,,,,,,,,,The Amazing Spider-Man
"Amazing Spider-Man: Full Circle, The",Various,Marvel,3.0,False,,,,,,,,,,,The Amazing Spider-Man: Full Circle
Amazing Spider-Man: Kraven's Last Hunt,"David, Peter",Marvel,6.0,False,,,,,,,,,,,Amazing Spider-Man: Kraven's Last Hunt
American Elf,"Kochlka, James",Topshelf,70.0,False,,,,,,,,,,,American Elf
American Flagg,"Chaykin, Howard",First Comics,50.0,False,,,,,,,,,,,American Flagg
American Gothic,"Edington, Ian",Rebellion Developments,8.0,False,,,,,,,,,,,American Gothic
And Then Emily Was Gone,"Lees, John",ComixTribe,6.0,False,,,,,,,,,,,And Then Emily Was Gone
Animal Man,"Lemire, Jeff",DC,32.0,False,,,,,,,,,,,Animal Man
Animal Man,"Milligan, Peter",DC,6.0,False,,,,,,,,,,,Animal Man
Animal Man,"Morrison, Grant",DC,26.0,False,,,,,,,,,,,Animal Man
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari",Pantheon,6.0,False,,,,,,,,,,,Anne Frank's Diary: The Graphic Adaptation
Aquaman,"Abnett, Dan",DC,46.0,False,,,,,,,,,,,Aquaman
Aquaman: Sub Diego,"Pfiefer, Will",DC,8.0,False,,,,,,,,,,,Aquaman: Sub Diego
Archie,"Waid, Mark",Archie,12.0,False,,,,,,,,,,,Archie
"Arrival, The","Tan, Shaun",Hodder & Stoughton,5.0,False,,,,,,,,,,,The Arrival
Ask for Mercy,"Starkings, Richard",Comicraft,6.0,False,,,,,,,,,,,Ask for Mercy
Assassination Classroom,"Matsui, Yusei",Manga,21.0,False,,,,,,,,,,,Assassination Classroom
Asterios Polyp,"Mazzucchelli, David",Random House,13.0,False,,,,,,,,,,,Asterios Polyp
Astonishing Ant-Man,"Spencer, Nick",Marvel,13.0,False,,,,,,,,,,,Astonishing Ant-Man
Astonishing X-Men,"Whedon, Joss",Marvel,69.0,False,,,,,,,,,,,Astonishing X-Men
Astro City,"Waid, Mark",DC,100.0,False,,,,,,,,,,,Astro City
Attaboy,,,,,,,,,,,,,,,Attaboy
Attack on Titan,"Isayame, Hajime",Manga,28.0,False,,,,,,,,,,,Attack on Titan
"Authority, The","Ellis, Warren",Wildstorm,30.0,False,,,,,,,,,,,The Authority
Avatar: The Last Airbender,"Yang, Gene Luen",Dark Horse,48.0,False,,,,,,,,,,,Avatar: The Last Airbender
Avatar: The Last Airbender,"Hicks, Faith Erin",Dark Horse,6.0,False,,,,,,,,,,,Avatar: The Last Airbender
Avatar: The Last Airbender - The Lost Adventures,Various,Dark Horse,9.0,False,,,,,,,,,,,Avatar: The Last Airbender - The Lost Adventures
Avatar: The Legend of Korra - Turf Wars,"DiMartino, Michael",Dark Horse,10.0,False,,,,,,,,,,,Avatar: The Legend of Korra - Turf Wars
Avengers,"Busiek, Kurt",Marvel,70.0,False,,,,,,,,,,,Avengers
Avengers A.I.,"Humphries, Sam",Marvel,12.0,False,,,,,,,,,,,Avengers A.I.
