Title,System,Year,Played,Rating,Random Game,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
10000000,,2012,,7.6,Taiko: Drum Master,,,,,,,,,,,,10000000
.hack//G.U. Last Recode,,2017,,7.5,,,,,,,,,,,,,.hack//G.U. Last Recode
.hack//G.U. Vol. 1//Rebirth,,2006,,7.5,,,,,,,,,,,,,.hack//G.U. Vol. 1//Rebirth
.hack//Outbreak: Part 3,,2002,,7.5,,,,,,,,,,,,,.hack//Outbreak: Part 3
10 Second Ninja X,XBO,,FALSE,82,,,,,,,,,,,,,10 Second Ninja X
1000 Tiny Claws,,2011,,7.6,,,,,,,,,,,,,1000 Tiny Claws
1000xRESIST,,2024,,8.4,,,,,,,,,,,,,
1001 Spikes,PS4,,FALSE,78,,,,,,,,,,,,,1001 Spikes
1080° Avalanche,,2003,,7.5,,,,,,,,,,,,,1080° Avalanche
13 Sentinels: Aegis Rim,SWITCH,,FALSE,88,,,,,,,,,,,,,13 Sentinels: Aegis Rim
1503 A.D.: The New World,,2002,,7.7,,,,,,,,,,,,,1503 A.D.: The New World
1602 A.D.,,1999,,7.5,,,,,,,,,,,,,1602 A.D.
1701 A.D.,PC,,FALSE,79,,,,,,,,,,,,,1701 A.D.
1979 Revolution: Black Friday,PC,,FALSE,80,,,,,,,,,,,,,1979 Revolution: Black Friday
1nsane,,2000,,7.5,,,,,,,,,,,,,1nsane
2064: Read Only Memories,PC,,FALSE,80,,,,,,,,,,,,,2064: Read Only Memories
20XX,,2014,,7.6,,,,,,,,,,,,,20XX
"2D Adventures of Rotating Octopus Character, The",PSP,,FALSE,81,,,,,,,,,,,,,The 2D Adventures of Rotating Octopus Character
3 Minutes to Midnight,,2024,,7.5,,,,,,,,,,,,,
30XX,SWITCH,,FALSE,86,,,,,,,,,,,,,30XX
3D After Burner II,3DS,,FALSE,81,,,,,,,,,,,,,3D After Burner II
3D Gunstar Heroes,3DS,,FALSE,89,,,,,,,,,,,,,3D Gunstar Heroes
3D Out Run,3DS,,FALSE,87,,,,,,,,,,,,,3D Out Run
3D Sonic the Hedgehog 2,3DS,,FALSE,87,,,,,,,,,,,,,3D Sonic the Hedgehog 2
3D Streets of Rage II,3DS,,FALSE,89,,,,,,,,,,,,,3D Streets of Rage II
4 Wheel Thunder,,2000,,7.5,,,,,,,,,,,,,4 Wheel Thunder
428: Shibuya Scramble,PS4,,FALSE,85,,,,,,,,,,,,,428: Shibuya Scramble
6-PAK,,1995,,7.6,,,,,,,,,,,,,6-PAK
6180 the moon,,2014,,7.5,,,,,,,,,,,,,6180 the moon
7 Billion Humans,,2018,,7.7,,,,,,,,,,,,,7 Billion Humans
7 Days a Skeptic,,2004,,7.6,,,,,,,,,,,,,7 Days a Skeptic
7th Dragon III: Code:VFD,,2015,,7.5,,,,,,,,,,,,,7th Dragon III: Code:VFD
80 Days,SWITCH,,FALSE,84,,,,,,,,,,,,,80 Days
9 R.I.P.,,2024,,7.8,,,,,,,,,,,,,
9 Years of Shadows,,2023,,7.6,,,,,,,,,,,,,9 Years of Shadows
A Boy And His Blob,Wii,,FALSE,80,,,,,,,,,,,,,A Boy And His Blob
A Fisherman's Tale,PC,,FALSE,78,,,,,,,,,,,,,A Fisherman's Tale
A Hat in Time,PC,,FALSE,79,,,,,,,,,,,,,A Hat in Time
A Highland Song,PC,,FALSE,83,,,,,,,,,,,,,A Highland Song
A Kingdom for Keflings,X360,,FALSE,78,,,,,,,,,,,,,A Kingdom for Keflings
A Musical Story,SWITCH,,FALSE,79,,,,,,,,,,,,,A Musical Story
A New Beginning,,2010,,7.5,,,,,,,,,,,,,A New Beginning
A Plague Tale: Innocence,XBO,,FALSE,83,,,,,,,,,,,,,A Plague Tale: Innocence
A Plague Tale: Requiem,XBSX,,FALSE,85,,,,,,,,,,,,,A Plague Tale: Requiem
A Robot Named Fight!,,2017,,7.5,,,,,,,,,,,,,A Robot Named Fight!
A Short Hike,SWITCH,,FALSE,88,,,,,,,,,,,,,A Short Hike
A Space for the Unbound,PC,,FALSE,86,,,,,,,,,,,,,A Space for the Unbound
A Space Shooter for Two Bucks,PSP,,FALSE,81,,,,,,,,,,,,,A Space Shooter for Two Bucks
A Vampyre Story,,2008,,7.6,,,,,,,,,,,,,A Vampyre Story
A Way Out,XBO,,FALSE,79,,,,,,,,,,,,,A Way Out
A Year of Springs,,2021,,7.5,,,,,,,,,,,,,A Year of Springs
AAAAAAAH!!! A Reckless Disregard for Gravity,PC,,FALSE,81,,,,,,,,,,,,,AAAAAAAH!!! A Reckless Disregard for Gravity
Aaero: Complete Edition,SWITCH,,FALSE,80,,,,,,,,,,,,,Aaero: Complete Edition
Aaero2,,2024,,8.1,,,,,,,,,,,,,
Aban Hawkins & the 1001 Spikes: The Temple of the ...,,2014,,7.7,,,,,,,,,,,,,Aban Hawkins & the 1001 Spikes: The Temple of the ...
Abobo's Big Adventure,,2012,,7.6,,,,,,,,,,,,,Abobo's Big Adventure
ABZU,PC,,FALSE,83,,,,,,,,,,,,,ABZU
Ace Attorney Investigations Collection,,2024,,8.3,,,,,,,,,,,,,
Ace Attorney Investigations: Miles Edgeworth,DS,,FALSE,78,,,,,,,,,,,,,Ace Attorney Investigations: Miles Edgeworth
Ace Combat 04: Shattered Skies,PS2,,FALSE,89,,,,,,,,,,,,,Ace Combat 04: Shattered Skies
Ace Combat 2,PlayStation,,FALSE,83,,,,,,,,,,,,,Ace Combat 2
Ace Combat 5: The Unsung War,PS2,,FALSE,84,,,,,,,,,,,,,Ace Combat 5: The Unsung War
Ace Combat 6: Fires of Liberation,X360,,FALSE,80,,,,,,,,,,,,,Ace Combat 6: Fires of Liberation
Ace Combat 7: Skies Unknown,PC,,FALSE,80,,,,,,,,,,,,,Ace Combat 7: Skies Unknown
Ace Combat X: Skies of Deception,,2006,,7.5,,,,,,,,,,,,,Ace Combat X: Skies of Deception
Ace Combat Zero: The Belkan War,,2006,,7.6,,,,,,,,,,,,,Ace Combat Zero: The Belkan War
Ace Combat: Assault Horizon,X360,,FALSE,78,,,,,,,,,,,,,Ace Combat: Assault Horizon
Act of War: Direct Action,PC,,FALSE,82,,,,,,,,,,,,,Act of War: Direct Action
ActRaiser,SNES,1990,FALSE,8,,,,,,,,,,,,,ActRaiser
Actual Sunlight,,2014,,7.5,,,,,,,,,,,,,Actual Sunlight
Adios,PC,,FALSE,78,,,,,,,,,,,,,Adios
Advance Wars,GBA,,FALSE,92,,,,,,,,,,,,,Advance Wars
Advance Wars 1 + 2: Re-Boot Camp,SWITCH,,FALSE,82,,,,,,,,,,,,,Advance Wars 1 + 2: Re-Boot Camp
Advance Wars 2: Black Hole Rising,GBA,,FALSE,89,,,,,,,,,,,,,Advance Wars 2: Black Hole Rising
Advance Wars: Days of Ruin,DS,,FALSE,86,,,,,,,,,,,,,Advance Wars: Days of Ruin
Advance Wars: Dual Strike,DS,,FALSE,90,,,,,,,,,,,,,Advance Wars: Dual Strike
"Adventure Pals, The",XBO,,FALSE,80,,,,,,,,,,,,,The Adventure Pals
Adventure Time: Game Wizard,,2015,,7.5,,,,,,,,,,,,,Adventure Time: Game Wizard
"Adventures of Cookie & Cream, The",PS2,,FALSE,78,,,,,,,,,,,,,The Adventures of Cookie & Cream
Adventures of Pip,Wii U,,FALSE,78,,,,,,,,,,,,,Adventures of Pip
Aegis Defenders,,2018,,7.6,,,,,,,,,,,,,Aegis Defenders
