Title,Writer,Rating,Read,Random Graphic Novel
"100 Bullets, Vol. 1: First Shot, Last Call",Brian Azzarello,"3.86 avg rating — 16,184 ratings",True,"Realm of the Blue Mist (The Rema Chronicles, #1)"
100 Bullets: The Deluxe Edition Book I,Brian Azzarello|(writer),"4.11 avg rating — 2,209 ratings",True,
100%,Paul Pope,"3.98 avg rating — 1,909 ratings",False,
1602: Witch Hunter Angela,Marguerite Bennett|(Writer),3.47 avg rating — 809 ratings,False,
1984: The Graphic Novel,Fido Nesti|(Adapter/Illustrator),"4.23 avg rating — 5,568 ratings",False,
20th Century Boys 1,Naoki Urasawa,"4.37 avg rating — 8,351 ratings",False,
3 Story: The Secret History of the Giant Man,Matt Kindt,3.91 avg rating — 865 ratings,False,
30 Days of Night,Steve Niles,"3.79 avg rating — 20,450 ratings",False,
300,Frank Miller|(Writer/Illustrator),"3.98 avg rating — 52,953 ratings",False,
303,Garth Ennis,3.54 avg rating — 443 ratings,False,
"52, Vol. 1",Geoff Johns,"3.88 avg rating — 5,791 ratings",False,
7 Good Reasons Not to Grow Up: A Graphic Novel,Jimmy Gownley,3.25 avg rating — 432 ratings,False,
83 Days in Mariupol: A War Diary,Don  Brown,3.98 avg rating — 621 ratings,False,
A + E 4ever,I. Merey,3.55 avg rating — 796 ratings,False,
A Bag of Marbles,Kris|(Adaptation),"3.80 avg rating — 1,202 ratings",False,
A Boy Named Rose,Gaëlle Geniller,"4.49 avg rating — 1,558 ratings",False,
"A Bride's Story, Vol. 1 (A Bride's Story, #1)",Kaoru Mori,"4.23 avg rating — 9,254 ratings",False,
"A Business Proposal, Vol. 4 (A Business Proposal, #4)",Haehwa,"4.31 avg rating — 1,513 ratings",False,
"A Career in Books: A Novel about Friends, Money, and the Occasional Duck Bun",Kate Gavino,3.92 avg rating — 997 ratings,False,
A Cat Story,Ursula Murray Husted,"3.78 avg rating — 1,215 ratings",False,
A Complete Lowlife,Ed Brubaker,3.49 avg rating — 390 ratings,False,
A Contract with God and Other Tenement Stories (The Contract With God Trilogy #1),Will Eisner,"4.07 avg rating — 13,200 ratings",False,
A Drifting Life,Yoshihiro Tatsumi,"4.02 avg rating — 3,078 ratings",False,
A Drunken Dream & Other Stories,Moto Hagio,"4.14 avg rating — 1,110 ratings",False,
A frog in the fall,Linnea Sterte,4.59 avg rating — 820 ratings,False,
"A Game of Thrones: The Graphic Novel, Volume One",Daniel Abraham|(Adaptation),"4.49 avg rating — 43,029 ratings",False,
A Guest in the House,Emily Carroll,"4.06 avg rating — 5,977 ratings",False,
A House Without Windows,Marc Ellison,4.36 avg rating — 163 ratings,False,
A Letter To Jo,Joseph Sieracki,3.93 avg rating — 164 ratings,False,
