Movies,Year,Watched,Random Movie
...ALL THE MARBLES (Aldrich);,,FALSE,"War Room, The"
[REC] (Jaume Balagueró & Paco Plaza),,FALSE,
10 to Midnight,1983,FALSE,
12 ANGRY MEN (Sidney Lumet),,TRUE,
12 MONKEYS (Gilliam),,TRUE,
12 YEARS A SLAVE (Mcqueen),,TRUE,
12:08 East of Bucharest,2006,FALSE,
13 ASSASSINS (Takashi Miike),,TRUE,
13 Going on 30 (2004),,FALSE,
1917 (Mendes),,TRUE,
2001: A SPACE ODYSSEY (Stanley Kubrick),,TRUE,
2019: After the Fall of New York,1983,FALSE,
2046 (Wong Kar-wai),,TRUE,
20TH CENTURY WOMEN (Mike Mills),,TRUE,
24 Frames (Kiarostami),2017,TRUE,
25TH HOUR (Spike Lee),,TRUE,
28 Up,1984,FALSE,
3 IDIOTS (Hirani),,TRUE,
3 WOMEN (Robert Altman),,FALSE,
"3:15, The moment of Truth",1986,FALSE,
35 Shots of Rum,2008,FALSE,
36 Fillette (1988),,FALSE,
"36TH CHAMBER OF SHAOLIN, The (Liu Chia-Liang)",,TRUE,
"39 STEPS, The (Alfred Hitchcock)",,FALSE,
4 Little Girls,,FALSE,
"4 Months, 3 Weeks and 2 Days",2007,FALSE,
"400 BLOWS, The (François Truffaut)",,TRUE,
42ND STREET (Lloyd Bacon),,FALSE,
45 (Haigh),2015,FALSE,
48 HRS. (Walter Hill),,FALSE,
49th PARALLEL (Michael Powell),,FALSE,
"4th Man, The",1983,FALSE,
5 Fingers of Death,1972,FALSE,
52 PICK UP (Frankenheimer);,,FALSE,
68 Kill,2017,FALSE,
7 KOGUSTAKI MUCIZE (Öztekin),,FALSE,
78/52,2017,FALSE,
8 ½ (Frederico Fellini),,TRUE,
8 BED AND BOARD (François Truffaut),,FALSE,
8 Diagram Pole Fighter,1984,TRUE,
8 Million Ways To Die,1986,FALSE,
8 WOMEN (Ozon);,,FALSE,
9 ½ Weeks,1986,FALSE,
A BAY OF BLOOD (Bava),,TRUE,
A BEAUTIFUL MIND (Howard);,2001,TRUE,
A BETTER TOMORROW (Woo),,FALSE,
A BIGGER SPLASH (Guadagnino);,,TRUE,
A Breed Apart,1984,FALSE,
A BRONX TALE (De Niro,,TRUE,
A Bucket of Blood (1959),,FALSE,
A CANTERBURY TALE (Michael Powell and Emeric Pressburger),,FALSE,
A CHRISTMAS TALE (Arnaud Desplechin),,FALSE,
A CLOCKWORK ORANGE (Stanley Kubrick),,TRUE,
A CLOSE SHAVE (Park),,FALSE,
A Cop (1972),,FALSE,
A Cry For Help (1975),,FALSE,
A Dangerous Method,2011,FALSE,
A DAY AT THE RACES,,FALSE,
A DAY IN THE COUNTRY (Renoir),,FALSE,
A Day in the Life,2021,FALSE,
A DAY WITH THE BOYS (Gulager),,TRUE,
A Decade Under the Influence,2003,FALSE,
A Different Man (2024),,FALSE,
A FACE IN THE CROWD (Elia Kazan),,FALSE,
A Family Affair (2024),,FALSE,
A Field of Honor (1973),,FALSE,
A FISH CALLED WANDA (Crichton);,,TRUE,
A GHOST STORY (David Lowery),,TRUE,
A Girl Cut in Two,2007,FALSE,
A Glitch in the Matrix,2021,TRUE,
A Good Person,,FALSE,
A GRAND DAY OUT (Park);,,FALSE,
A Guide To Recognizing Your Saints,2006,FALSE,
A HARD DAY'S NIGHT (Richard Lester),,FALSE,
A Hero,2021,FALSE,
A HIGH WIND IN JAMAICA (Alexander Mackendrick),,FALSE,
A HISTORY OF VIOLENCE (Cronenberg),,TRUE,
À l’aventure,2008,FALSE,
A LETTER TO THREE WOMEN,,FALSE,
A Little Princess,1995,FALSE,
A MAN ESCAPED (Robert Bresson),,FALSE,
A MAN FOR ALL SEASONS (Fred Zinnemann),,TRUE,
A MATTER OF LIFE AND DEATH (Michael Powell and Emeric Pressburger),,FALSE,
A Mighty Heart,2007,FALSE,
A MIGHTY WIND (Guest),,TRUE,
A Moment of Innocence (1996),,FALSE,
A MOST WANTED MAN (Anton Corbijn),,FALSE,
A Movie (Conner),,FALSE,
A NEW LEAF (Elaine May),,FALSE,
A NIGHT AT THE OPERA (Sam Wood),,FALSE,
A Prairie Home Companion,2006,FALSE,
A QUIET PLACE (Krasinski);,,TRUE,
A Quiet Place Part 2,,TRUE,
A Real Pain (2024),,FALSE,
A Real Young Girl,1976,FALSE,
A SCANNER DARKLY (Richard Linklater),,TRUE,
A Seperation,,TRUE,
A SERIOUS MAN (Coen),,FALSE,
A SIMPLE PLAN (Sam Raimi),,FALSE,
A STAR IS BORN (George Cukor),,FALSE,
A SUMMER DRESS (Ozon),,FALSE,
A SUMMER'S TALE (Eric Rohmer),,FALSE,
A Sunday in the Country,1984,FALSE,
A Tale Of Autumn,1998,FALSE,
A Tale of Two Sisters,2003,FALSE,
A TALE OF WINTER (Eric Rohmer),,FALSE,
A Time For Dying,1969,FALSE,
A Very Murray Christmas,2015,FALSE,
A WALK AMONG THE TOMBSTONES (Scott Frank),,FALSE,
A Walk in the Clouds,1995,FALSE,
A WALK IN THE SUN (Lewis Milestone),,FALSE,
A Warning To The Curious,1972,FALSE,
A WOMAN IS A WOMAN (Jean-luc Godard),,FALSE,
A WOMAN UNDER THE INFLUENCE (Cassavetes),,FALSE,
A Wounded Fawn,2022,FALSE,
Abbot and Costello Meet Frankenstein,1948,FALSE,
Abigail’s Party,1977,FALSE,
Absolution (2024),,FALSE,
"ACCIDENTAL TOURIST, The (Kasdan)",,FALSE,
ACE IN THE HOLE (Billy Wilder),,TRUE,
ACROSS 110TH STREET (Shear),,FALSE,
ACROSS THE UNIVERSE (Anderson),,FALSE,
AD ASTRA (James Gray),,TRUE,
Adam’s Rib,1949,FALSE,
"Addiction, The",1995,TRUE,
ADDRESS UNKNOWN (William Cameron Menzies),,TRUE,
"Adults, The",,FALSE,
